MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Orphan Black,(2013–2017),"
Action, Drama, Sci-Fi            ",8.3,"
A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.","
            
    Stars:
Tatiana Maslany, 
Dylan Bruce, 
Jordan Gavaris, 
Kevin Hanchard
","1,04,501",44,
Grimm,(2011–2017),"
Crime, Drama, Fantasy            ",7.8,"
A homicide detective discovers he is a descendant of hunters who fight supernatural forces.","
            
    Stars:
David Giuntoli, 
Russell Hornsby, 
Silas Weir Mitchell, 
Sasha Roiz
","1,11,716",45,
Luther,(2010–2019),"
Crime, Drama, Mystery            ",8.4,"
DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.","
            
    Stars:
Idris Elba, 
Dermot Crowley, 
Michael Smiley, 
Warren Brown
","1,25,749",60,
Sexy Beasts,(2021– ),"
Reality-TV, Romance            ",4.7,"
Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.","
            
    Star:
Rob Delaney
",592,,
Red Notice,-2021,"
Action, Comedy, Crime            ",,"
An Interpol agent tracks the world's most wanted art thief.","
    Director:
Rawson Marshall Thurber
| 
    Stars:
Dwayne Johnson, 
Ryan Reynolds, 
Gal Gadot, 
Ritu Arya
",,,
Sen to Chihiro no kamikakushi,-2001,"
Animation, Adventure, Family            ",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
","6,82,809",125,$10.06M
Hotel Transylvania: Transformania,-2021,"
Animation, Adventure, Comedy            ",,"
Drac's Pack is back, like you've never seen them before in the final chapter of 'Hotel Transylvania'.","
    Directors:
Derek Drymon, 
Jennifer Kluska
| 
    Stars:
Brian Hull, 
Andy Samberg, 
Selena Gomez, 
Kathryn Hahn
",,,
Murdoch Mysteries,(2008– ),"
Crime, Drama, Mystery            ",8.1,"
In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.","
            
    Stars:
Yannick Bisson, 
Helene Joy, 
Thomas Craig, 
Jonny Harris
","11,437",48,
Wish Dragon,-2021,"
Animation, Adventure, Comedy            ",7.2,"
Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.","
    Director:
Chris Appelhans
| 
    Stars:
Will Yun Lee, 
Constance Wu, 
Natasha Liu Bordizzo, 
John Cho
","15,262",98,
Resident Evil: Infinite Darkness,(2021– ),"
Animation, Action, Horror            ",5.8,"
Federal agent Leon S. Kennedy teams up with TerraSave staff member Claire Redfield to investigate a zombie outbreak. Based on the popular video game series of the same name by Capcom.","
            
    Stars:
Nick Apostolides, 
Bill Butts, 
Kellen Goff, 
Stephanie Panisello
","7,128",26,
Reign,(2013–2017),"
Drama, Fantasy            ",7.5,"
Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.","
            
    Stars:
Adelaide Kane, 
Megan Follows, 
Celina Sinden, 
Torrance Coombs
","45,045",42,
Elementary,(2012–2019),"
Crime, Drama, Mystery            ",7.9,"
A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.","
            
    Stars:
Jonny Lee Miller, 
Lucy Liu, 
Aidan Quinn, 
Jon Michael Hill
","1,03,707",60,
The Girl in the Spider's Web,-2018,"
Action, Crime, Drama            ",6.1,"
Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","
    Director:
Fede Alvarez
| 
    Stars:
Claire Foy, 
Beau Gadsdon, 
Sverrir Gudnason, 
LaKeith Stanfield
","43,896",115,$14.84M
Kong: Skull Island,-2017,"
Action, Adventure, Fantasy            ",6.6,"
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
","2,94,292",118,$168.05M
The Missing,(2014–2016),"
Crime, Drama, Mystery            ",8.2,"
Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.","
            
    Stars:
Tchéky Karyo, 
Anastasia Hille, 
David Morrissey, 
Keeley Hawes
","23,317",60,
Hagane no renkinjutsushi,(2009–2012),"
Animation, Action, Adventure            ",9.1,"
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","
            
    Stars:
Kent Williams, 
Iemasa Kayumi, 
Vic Mignogna, 
Romi Pak
","1,34,855",24,
Altered Carbon,(2018–2020),"
Action, Drama, Sci-Fi            ",8,"
Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.","
            
    Stars:
Chris Conner, 
Renée Elise Goldsberry, 
Dichen Lachman, 
Will Yun Lee
","1,49,002",60,
Enterprise,(2001–2005),"
Action, Adventure, Drama            ",7.5,"
A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.","
            
    Stars:
Scott Bakula, 
John Billingsley, 
Jolene Blalock, 
Dominic Keating
","48,148",60,
Black Clover,(2017–2021),"
Animation, Action, Adventure            ",8.3,"
Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.","
            
    Stars:
Dallas Reid, 
Cris George, 
Jill Harris, 
Christopher Sabat
","13,218",24,
Uncut Gems,-2019,"
Crime, Drama, Thriller            ",7.4,"
With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","
    Directors:
Benny Safdie, 
Josh Safdie
| 
    Stars:
Adam Sandler, 
Julia Fox, 
Idina Menzel, 
Mesfin Lamengo
","2,39,770",135,
American Crime Story,(2016– ),"
Biography, Crime, Drama            ",8.4,"
An anthology series centered around America's most notorious crimes and criminals.","
            
    Stars:
Sarah Paulson, 
Annaleigh Ashford, 
Sterling K. Brown, 
Kenneth Choi
","83,137",42,
Bloodline,(2015–2017),"
Drama, Thriller            ",7.9,"
A family finds themselves forced to face their past secrets and scars when the black sheep returns home.","
            
    Stars:
Kyle Chandler, 
Ben Mendelsohn, 
Linda Cardellini, 
Sissy Spacek
","46,111",60,
Revenge,(2011–2015),"
Drama, Mystery, Thriller            ",7.8,"
An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.","
            
    Stars:
Madeleine Stowe, 
Emily VanCamp, 
Gabriel Mann, 
Nick Wechsler
","1,14,932",44,
The Revenant,-2015,"
Action, Adventure, Drama            ",8,"
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
","7,32,244",156,$183.64M
Z Nation,(2014–2018),"
Action, Comedy, Drama            ",6.7,"
Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.","
            
    Stars:
Russell Hodgkinson, 
Nat Zang, 
Keith Allan, 
Kellita Smith
","34,226",44,
Polar,(I) (2019),"
Action, Crime, Drama            ",6.3,"
A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","
    Director:
Jonas Åkerlund
| 
    Stars:
Mads Mikkelsen, 
Vanessa Hudgens, 
Katheryn Winnick, 
Fei Ren
","80,553",118,
Kim's Convenience,(2016–2021),"
Comedy            ",8.2,"
The misadventures of a Korean-Canadian family running a convenience store.","
            
    Stars:
Paul Sun-Hyung Lee, 
Jean Yoon, 
Andrea Bang, 
Simu Liu
","12,443",22,
Grace and Frankie,(2015–2021),"
Comedy            ",8.3,"
Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.","
            
    Stars:
Jane Fonda, 
Lily Tomlin, 
Sam Waterston, 
Martin Sheen
","41,520",30,
The Lord of the Rings: The Two Towers,-2002,"
Action, Adventure, Drama            ",8.7,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
","15,29,752",179,$342.55M
Love Is Blind,(2020– ),"
Reality-TV, Romance            ",6.1,"
Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","
            
    Stars:
Heather Ashley Chase, 
Nick Lachey, 
Vanessa Lachey, 
Kenny Barnes
","5,342",48,
Legally Blonde,-2001,"
Comedy, Romance            ",6.3,"
Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
","1,95,752",96,$96.52M
Jessica Jones,(2015–2019),"
Action, Crime, Drama            ",7.9,"
Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","
            
    Stars:
Krysten Ritter, 
Rachael Taylor, 
Eka Darville, 
Carrie-Anne Moss
","1,98,056",56,
Rust Creek,-2018,"
Crime, Drama, Thriller            ",5.9,"
An overachieving college student gets lost on her way to a job interview. A wrong turn leaves her stranded deep in the Kentucky forest.","
    Director:
Jen McGowan
| 
    Stars:
Hermione Corfield, 
Jay Paulson, 
Sean O'Bryan, 
Micah Hauptman
","9,263",108,
American Vandal,(2017–2018),"
Comedy, Crime, Drama            ",8.2,"
A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.","
            
    Stars:
Tyler Alvarez, 
Griffin Gluck, 
Jimmy Tatro, 
Travis Tope
","28,093",34,
Cheers,(1982–1993),"
Comedy, Drama            ",7.9,"
The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.","
            
    Stars:
Ted Danson, 
Rhea Perlman, 
John Ratzenberger, 
George Wendt
","49,886",22,
Ocean's Eight,-2018,"
Action, Comedy, Crime            ",6.3,"
Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.","
    Director:
Gary Ross
| 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
","1,97,909",110,$140.22M
America: The Motion Picture,-2021,"
Animation, Action, Adventure            ",5.7,"
A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.","
    Director:
Matt Thompson
| 
    Stars:
Channing Tatum, 
Jason Mantzoukas, 
Olivia Munn, 
Bobby Moynihan
","4,485",98,
That '70s Show,(1998– ),"
Comedy, Romance            ",8,"
A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","
            
    Stars:
Topher Grace, 
Laura Prepon, 
Mila Kunis, 
Danny Masterson
","1,57,990",22,
Below Deck Mediterranean,(2016– ),"
Reality-TV            ",7.3,"
A reality show following the crew of the Ionian Princess, a luxury charter yacht in the Mediterranean.","
            
    Stars:
Hannah Ferrier, 
Sandy Yawn, 
Malia White, 
João Franco
","1,327",43,
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,"
Action, Adventure, Fantasy            ",6.5,"
Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.","
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
","2,76,173",129,$172.56M
Sense8,(2015–2018),"
Drama, Mystery, Sci-Fi            ",8.3,"
A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","
            
    Stars:
Bae Doona, 
Jamie Clayton, 
Tina Desai, 
Tuppence Middleton
","1,44,032",60,
How to Become a Tyrant,(2021– ),"
Documentary, Biography, History            ",7.4,"
Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.","
            
    Stars:
Peter Dinklage, 
Bruce Bueno de Mesquita, 
Waller Newell, 
Ruth Ben-Ghiat
","3,700",,
Dead to Me,(2019– ),"
Comedy, Crime, Drama            ",8,"
A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.","
            
    Stars:
Christina Applegate, 
Linda Cardellini, 
Sam McCarthy, 
Luke Roessler
","61,944",30,
Narcos: México,(2018– ),"
Crime, Drama            ",8.4,"
The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.","
            
    Stars:
Scoot McNairy, 
Diego Luna, 
José María Yazpik, 
Fermín Martínez
","64,838",50,
2001: A Space Odyssey,-1968,"
Adventure, Sci-Fi            ",8.3,"
After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","
    Director:
Stanley Kubrick
| 
    Stars:
Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter
","6,22,998",149,$56.95M
Adventure Time,(2010–2018),"
Animation, Action, Adventure            ",8.6,"
A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","
            
    Stars:
John DiMaggio, 
Jeremy Shada, 
Tom Kenny, 
Hynden Walch
","81,525",11,
Nanatsu no taizai,(2014–2021),"
Animation, Action, Adventure            ",8,"
The legend of the confrontation between the Seven Deadly Sins and the Holy Knights.","
            
    Stars:
Bryce Papenbrook, 
Erika Harlacher, 
Max Mittelman, 
Cristina Valenzuela
","26,282",24,
My Unorthodox Life,(2021– ),"
Reality-TV            ",5.1,"
The personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group.","
            
    Stars:
David Green, 
Batsheva Haart
",742,,
Slasher,(2016– ),"
Crime, Drama, Horror            ",6.7,"
An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.","
            
    Stars:
Paula Brancati, 
Dean McDermott, 
Joanne Vannicola, 
Christopher Jacot
","12,031",60,
Anne,(2017–2019),"
Drama, Family            ",8.7,"
The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","
            
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","43,433",60,
The Tudors,(2007–2010),"
Drama, History, Romance            ",8.1,"
A dramatic series about the reign and marriages of King Henry VIII.","
            
    Stars:
Jonathan Rhys Meyers, 
Henry Cavill, 
Anthony Brophy, 
James Frain
","70,514",60,
Batman v Superman: Dawn of Justice,-2016,"
Action, Adventure, Sci-Fi            ",6.4,"
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
","6,57,423",152,$330.36M
Pose,(2018–2021),"
Drama            ",8.6,"
In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.","
            
    Stars:
Michaela Jaé (MJ) Rodriguez, 
Dominique Jackson, 
Indya Moore, 
Angel Bismark Curiel
","23,179",60,
Cider no yô ni kotoba ga wakiagaru,-2020,"
Animation, Drama, Romance            ",7,"
A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos.","
    Director:
Kyohei Ishiguro
| 
    Stars:
Somegorô Ichikawa, 
Hana Sugisaki, 
Kimberley Wong, 
Victoria Grace
",941,87,
News of the World,-2020,"
Action, Adventure, Drama            ",6.8,"
A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","
    Director:
Paul Greengrass
| 
    Stars:
Tom Hanks, 
Helena Zengel, 
Tom Astor, 
Travis Johnson
","69,037",118,
Mother!,-2017,"
Drama, Horror, Mystery            ",6.6,"
A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
","2,01,141",121,$17.80M
Emily in Paris,(2020– ),"
Comedy, Drama, Romance            ",7,"
A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.","
            
    Stars:
Lily Collins, 
Philippine Leroy-Beaulieu, 
Ashley Park, 
Lucas Bravo
","55,757",30,
National Lampoon's Animal House,-1978,"
Comedy            ",7.5,"
At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
","1,15,289",109,$0.20M
The Affair,(2014–2019),"
Drama            ",7.9,"
A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.","
            
    Stars:
Dominic West, 
Ruth Wilson, 
Maura Tierney, 
Julia Goldani Telles
","42,129",60,
Honest Thief,-2020,"
Action, Crime, Drama            ",6,"
Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","
    Director:
Mark Williams
| 
    Stars:
Liam Neeson, 
Kate Walsh, 
Jai Courtney, 
Jeffrey Donovan
","40,186",99,
The End of the F***ing World,(2017–2019),"
Adventure, Comedy, Crime            ",8.1,"
James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","
            
    Stars:
Jessica Barden, 
Alex Lawther, 
Steve Oram, 
Christine Bottomley
","1,57,802",25,
Midnight in Paris,-2011,"
Comedy, Fantasy, Romance            ",7.7,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
","3,99,157",94,$56.82M
Lost in Space,(2018– ),"
Adventure, Drama, Family            ",7.3,"
After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.","
            
    Stars:
Maxwell Jenkins, 
Molly Parker, 
Toby Stephens, 
Taylor Russell
","76,255",60,
Wentworth,(2013–2021),"
Crime, Drama            ",8.6,"
Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.","
            
    Stars:
Kate Atkinson, 
Katrina Milosevic, 
Robbie Magasiva, 
Jacqueline Brennan
","18,080",45,
After Life,(2019– ),"
Comedy, Drama            ",8.4,"
After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.","
            
    Stars:
Ricky Gervais, 
Tom Basden, 
Tony Way, 
Diane Morgan
","91,972",30,
The Fresh Prince of Bel-Air,(1990–1996),"
Comedy            ",7.9,"
A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion.","
            
    Stars:
Will Smith, 
James Avery, 
Alfonso Ribeiro, 
Tatyana Ali
","1,25,167",22,
Kill Bill: Vol. 2,-2004,"
Action, Crime, Thriller            ",8,"
The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
","7,06,053",137,$66.21M
Bates Motel,(2013–2017),"
Drama, Horror, Mystery            ",8.1,"
A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.","
            
    Stars:
Vera Farmiga, 
Freddie Highmore, 
Max Thieriot, 
Nicola Peltz
","1,00,394",45,
Moneyball,-2011,"
Biography, Drama, Sport            ",7.6,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
","3,86,263",133,$75.61M
Behind Her Eyes,-2021,"
Drama, Mystery, Thriller            ",7.2,"
It follows Louise, a single mom with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.","
            
    Stars:
Simona Brown, 
Eve Hewson, 
Tom Bateman, 
Robert Aramayo
","47,174",298,
Biohackers,(2020– ),"
Drama, Sci-Fi, Thriller            ",6.8,"
A fast-paced thriller following medical student Mia Akerlund who discovers the use of highly advanced biohacking technology in her university town.","
            
    Stars:
Luna Wedler, 
Jessica Schwarz, 
Adrian Julius Tillmann, 
Caro Cult
","7,563",44,
Extraction,-2020,"
Action, Thriller            ",6.7,"
Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","
    Director:
Sam Hargrave
| 
    Stars:
Chris Hemsworth, 
Bryon Lerum, 
Ryder Lerum, 
Rudhraksh Jaiswal
","1,74,406",116,
The IT Crowd,(2006–2013),"
Comedy            ",8.5,"
The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","
            
    Stars:
Chris O'Dowd, 
Richard Ayoade, 
Katherine Parkinson, 
Matt Berry
","1,38,970",25,
Californication,(2007–2014),"
Comedy, Drama            ",8.3,"
A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.","
            
    Stars:
David Duchovny, 
Natascha McElhone, 
Evan Handler, 
Pamela Adlon
","1,74,076",28,
Beastars,(2019– ),"
Animation, Crime, Drama            ",7.8,"
In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.","
            
    Stars:
Chikahiro Kobayashi, 
Jonah Scott, 
Daman Mills, 
Lara Jill Miller
","7,429",23,
3rd Rock from the Sun,(1996–2001),"
Comedy, Family, Sci-Fi            ",7.7,"
A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.","
            
    Stars:
John Lithgow, 
Jane Curtin, 
Kristen Johnston, 
French Stewart
","48,780",60,
Big Mouth,(2017– ),"
Animation, Comedy, Romance            ",7.9,"
Teenage friends find their lives upended by the wonders and horrors of puberty.","
            
    Stars:
Nick Kroll, 
John Mulaney, 
Jessi Klein, 
Jason Mantzoukas
","61,304",30,
Snowpiercer,-2013,"
Action, Drama, Sci-Fi            ",7.1,"
In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.","
    Director:
Bong Joon Ho
| 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
","3,35,946",126,$4.56M
Locke & Key,(2020– ),"
Drama, Fantasy, Horror            ",7.4,"
After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","
            
    Stars:
Darby Stanchfield, 
Connor Jessup, 
Emilia Jones, 
Jackson Robert Scott
","47,717",48,
300: Rise of an Empire,-2014,"
Action, Drama            ",6.2,"
Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","
    Director:
Noam Murro
| 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
","2,86,734",102,$106.58M
Kimi no na wa.,-2016,"
Animation, Drama, Fantasy            ",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
","2,17,433",106,$5.02M
Travelers,(2016–2018),"
Drama, Mystery, Sci-Fi            ",8.1,"
Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity.","
            
    Stars:
Eric McCormack, 
MacKenzie Porter, 
Nesta Cooper, 
Jared Abrahamson
","49,197",45,
Black Lightning,(2017–2021),"
Action, Drama, Sci-Fi            ",6.1,"
A crusading school principal gets back into action as the original African-American electrical superhero.","
            
    Stars:
Cress Williams, 
Nafessa Williams, 
Christine Adams, 
Marvin 'Krondon' Jones III
","23,354",43,
Booksmart,-2019,"
Comedy            ",7.2,"
On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","
    Director:
Olivia Wilde
| 
    Stars:
Kaitlyn Dever, 
Beanie Feldstein, 
Jessica Williams, 
Jason Sudeikis
","1,03,143",102,$22.68M
The Water Man,(I) (2020),"
Adventure, Drama, Family            ",5.3,"
A boy sets out on a quest to save his ill mother by searching for a mythic figure said to have magical healing powers.","
    Director:
David Oyelowo
| 
    Stars:
Rosario Dawson, 
Maria Bello, 
Alfred Molina, 
David Oyelowo
","1,978",91,
Chesapeake Shores,(2016– ),"
Drama, Family            ",7.5,"
A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past.","
            
    Stars:
Jesse Metcalfe, 
Meghan Ory, 
Barbara Niven, 
Laci J Mailey
","5,407",42,
Oxygène,-2021,"
Drama, Fantasy, Sci-Fi            ",6.5,"
A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","
    Director:
Alexandre Aja
| 
    Stars:
Mélanie Laurent, 
Mathieu Amalric, 
Malik Zidi, 
Laura Boujenah
","27,918",100,
Jaws 2,-1978,"
Adventure, Horror, Thriller            ",5.8,"
Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.","
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
","73,931",116,$102.92M
Enola Holmes,-2020,"
Action, Adventure, Crime            ",6.6,"
When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","
    Director:
Harry Bradbeer
| 
    Stars:
Millie Bobby Brown, 
Henry Cavill, 
Sam Claflin, 
Helena Bonham Carter
","1,45,206",123,
Rurôni Kenshin: Sai shûshô - The Final,-2021,"
Action, Adventure, Drama            ",7.2,"
Kenshin's past catches up to him causing the destruction of Akabeko Restaurant, which was Kenshin's favorite place to eat. There, he finds a note with the word ""Junchu"" on it.","
    Director:
Keishi Ohtomo
| 
    Stars:
Takeru Satoh, 
Shin'nosuke Abe, 
Yû Aoi, 
Munetaka Aoki
","4,682",138,
Chilling Adventures of Sabrina,(2018–2020),"
Drama, Fantasy, Horror            ",7.5,"
As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","
            
    Stars:
Kiernan Shipka, 
Ross Lynch, 
Lucy Davis, 
Chance Perdomo
","82,557",60,
